ability	Her ability to explain difficult ideas clearly impressed the class.	難しい考えを明確に説明する彼女の能力は、クラスを感心させた。
able	After a few lessons, I was able to follow the conversation.	数回のレッスンの後、私は会話についていけるようになった。
abroad	Many students choose to study abroad for a semester.	多くの学生が一学期間、海外で学ぶことを選ぶ。
absolute	There is no absolute guarantee that the plan will succeed.	その計画が成功するという絶対的な保証はない。
absolutely	You are absolutely right about the need for more practice.	もっと練習が必要だという点で、あなたはまったく正しい。
accent	Her American accent became clearer after months of listening practice.	数か月のリスニング練習で、彼女のアメリカ英語のアクセントはより明瞭になった。
accept	Please accept our invitation to the opening ceremony.	開会式への私たちの招待を受けてください。
accident	No one was seriously injured in the accident.	その事故で重傷を負った人はいなかった。
accidentally	I accidentally sent the message to the wrong person.	私は誤ってそのメッセージを別の人に送ってしまった。
accommodate	The new hall can accommodate up to five hundred guests.	新しいホールは最大500人の客を収容できる。
accomplish	We need a realistic schedule to accomplish this goal.	この目標を達成するには現実的な予定が必要だ。
according to	According to the forecast, the rain will stop by noon.	予報によると、雨は正午までにやむそうだ。
accountant	The accountant checked every figure in the annual report.	会計士は年次報告書のすべての数字を確認した。
accuracy	Always check the accuracy of information before sharing it.	情報を共有する前に、必ずその正確さを確認しなさい。
accurately	The map accurately shows the distance between the two towns.	その地図は2つの町の距離を正確に示している。
acid	This cleaning product contains a mild acid.	この洗浄製品には弱い酸が含まれている。
act	We must act quickly before the situation gets worse.	状況が悪化する前に、私たちはすぐ行動しなければならない。
activate	Press this button to activate the security system.	このボタンを押して防犯システムを作動させてください。
active	Regular exercise helps older people remain active.	定期的な運動は高齢者が活動的でい続ける助けになる。
actual	The actual cost was much higher than our estimate.	実際の費用は私たちの見積もりよりずっと高かった。
actually	I thought the task was difficult, but it was actually quite simple.	その課題は難しいと思ったが、実際にはかなり簡単だった。
ad	The company placed an ad in the local newspaper.	その会社は地元の新聞に広告を載せた。
addiction	Phone addiction can affect both sleep and concentration.	スマートフォン依存は睡眠と集中力の両方に影響しうる。
addition	The addition of more windows made the room brighter.	窓を増設したことで、その部屋は明るくなった。
additionally	The hotel is close to the station; additionally, breakfast is included.	そのホテルは駅に近く、さらに朝食も含まれている。
address	The mayor will address the public this evening.	市長は今晩、市民に向けて演説する。
adequately	The report does not adequately explain the cause of the problem.	その報告書は問題の原因を十分に説明していない。
administration	The new administration promised to improve public transport.	新政権は公共交通を改善すると約束した。
adult	Every child must be accompanied by an adult.	子どもには必ず大人が付き添わなければならない。
adventure	Travelling alone across the country was a great adventure.	一人で国を横断した旅は大きな冒険だった。
advertisement	The advertisement made the product look better than it was.	その広告は製品を実物以上によく見せていた。
advertising	The company spends a large amount of money on online advertising.	その会社はオンライン広告に多額のお金を使っている。
advise	Doctors advise patients to get enough sleep.	医師は患者に十分な睡眠を取るよう勧めている。
affordable	The city needs more affordable housing for young families.	その市には若い家庭向けの、より手頃な住宅が必要だ。
after	We went for coffee after the meeting ended.	会議が終わった後、私たちはコーヒーを飲みに行った。
afterwards	We finished the project and celebrated together afterwards.	私たちはプロジェクトを終え、その後みんなで祝った。
against	Most residents voted against the proposed development.	住民の大半は提案された開発に反対票を投じた。
age	Some types of cheese improve as they age.	チーズの中には熟成するほど風味がよくなるものがある。
aged	The program provides meals for people aged sixty-five and over.	その制度は65歳以上の人に食事を提供する。
agent	You should speak to a travel agent before booking the tour.	ツアーを予約する前に旅行代理店の担当者に相談した方がよい。
agreement	After several hours of discussion, both sides reached an agreement.	数時間の話し合いの末、双方は合意に達した。
agriculture	Modern agriculture depends on careful management of water.	現代の農業は水の慎重な管理に依存している。
ah	Ah, now I understand what you meant.	ああ、今あなたの言いたかったことが分かりました。
aids	Better education has helped reduce the spread of AIDS.	より良い教育がエイズの拡大を抑える助けになっている。
aircraft	The aircraft landed safely despite the strong wind.	その航空機は強風にもかかわらず安全に着陸した。
airline	The airline cancelled three flights because of the storm.	その航空会社は嵐のため3便を欠航にした。
album	The band will release its new album next month.	そのバンドは来月、新しいアルバムを発売する。
alcohol	This medicine should not be taken with alcohol.	この薬はアルコールと一緒に服用してはいけない。
alcoholic	The restaurant offers several non-alcoholic drinks.	そのレストランはいくつかのノンアルコール飲料を提供している。
alien	The novel tells the story of an alien who visits Earth.	その小説は地球を訪れる異星人の物語だ。
alive	The missing climber was found alive the next morning.	行方不明の登山者は翌朝、生きて発見された。
all	All the information you need is on this page.	必要な情報はすべてこのページにある。
all right	Do not worry; everything will be all right.	心配しないで。すべて大丈夫になるよ。
allow	The new rules allow employees to work from home twice a week.	新しい規則では、従業員は週2回在宅勤務ができる。
almost	We have almost finished preparing for the event.	私たちはイベントの準備をほぼ終えた。
alone	She prefers to study alone in a quiet room.	彼女は静かな部屋で一人で勉強する方を好む。
along	We walked along the river until sunset.	私たちは日が沈むまで川沿いを歩いた。
alongside	A cycle path runs alongside the main road.	主要道路に沿って自転車道が走っている。
already	By the time I arrived, the film had already started.	私が着いた時には、映画はすでに始まっていた。
alter	A small change in temperature can alter the result.	わずかな温度変化でも結果を変えることがある。
although	Although the journey was long, the children did not complain.	旅は長かったが、子どもたちは不満を言わなかった。
altogether	There were altogether forty people at the workshop.	その研修会には全部で40人いた。
amazed	We were amazed by the view from the top of the mountain.	私たちは山頂からの景色に驚いた。
ambulance	An ambulance arrived within five minutes of the call.	通報から5分以内に救急車が到着した。
among	This restaurant is popular among local office workers.	このレストランは地元の会社員の間で人気がある。
amount	The amount of waste produced by the factory has fallen.	その工場が出す廃棄物の量は減少した。
amusing	He told an amusing story about his first day at work.	彼は仕事初日の面白い話をした。
analyse	Researchers will analyse the data before publishing their results.	研究者は結果を発表する前にデータを分析する。
analyst	A financial analyst explained why the market had changed.	金融アナリストが市場が変化した理由を説明した。
ancestor	One of her ancestors moved here more than a century ago.	彼女の祖先の一人は1世紀以上前にここへ移り住んだ。
anger	He found it difficult to control his anger during the argument.	彼は口論中に怒りを抑えるのが難しかった。
angle	Try looking at the problem from a different angle.	その問題を別の角度から見てみなさい。
animation	The studio is known for its beautiful hand-drawn animation.	その制作会社は美しい手描きアニメーションで知られている。
ankle	She injured her ankle while running down the hill.	彼女は丘を走り下りている時に足首を痛めた。
announcement	The unexpected announcement surprised everyone in the office.	突然の発表に職場のみんなが驚いた。
annoyed	I was annoyed that the train was delayed again.	電車がまた遅れたので私はいら立った。
annoying	The most annoying part was having to enter the same information twice.	最も面倒だったのは同じ情報を2回入力しなければならないことだった。
annually	The safety equipment is checked annually.	安全設備は毎年点検される。
anxiety	Preparing well can reduce anxiety before an interview.	十分に準備すると面接前の不安を減らせる。
any	Is there any reason to delay the decision?	決定を遅らせる理由は何かありますか。
any more	We do not use that old system any more.	私たちはもうその古いシステムを使っていない。
anybody	Does anybody know how to open this file?	このファイルの開き方を知っている人はいますか。
anyway	The weather looked bad, but we went hiking anyway.	天気は悪そうだったが、それでも私たちはハイキングに行った。
anywhere	You can sit anywhere in this section.	この区域ならどこに座ってもよい。
apart	The two villages are only five kilometres apart.	その2つの村はわずか5キロしか離れていない。
apology	The company issued an apology for the long delay.	その会社は長い遅延について謝罪した。
app	This app helps users keep track of their daily spending.	このアプリは利用者が毎日の支出を把握するのに役立つ。
appear	A warning message will appear if you enter the wrong password.	間違ったパスワードを入力すると警告メッセージが表示される。
applicant	Each applicant must provide two references.	応募者はそれぞれ2人の推薦者を示さなければならない。
apply	You can apply for the position online.	その職にはオンラインで応募できる。
appropriately	Please dress appropriately for the formal ceremony.	正式な式典にふさわしい服装をしてください。
approval	The project cannot begin without official approval.	その事業は正式な承認なしには開始できない。
architect	The architect designed the building to use natural light.	建築家は自然光を活用するようその建物を設計した。
architecture	The city is famous for its modern architecture.	その都市は近代建築で有名だ。
argue	Experts continue to argue about the best solution.	専門家は最善の解決策について議論を続けている。
armed	Two armed guards stood outside the entrance.	武装した警備員2人が入口の外に立っていた。
arms	The two countries agreed to reduce their nuclear arms.	両国は核兵器を削減することに合意した。
army	The army delivered food and water after the earthquake.	軍は地震後に食料と水を届けた。
arrival	Please call me immediately upon your arrival.	到着したらすぐに私に電話してください。
arrow	Follow the blue arrow to reach the main entrance.	正面入口へ行くには青い矢印に従ってください。
artistic	The neighbourhood is known for its artistic community.	その地区は芸術家の多いコミュニティーで知られている。
artwork	Local artwork is displayed throughout the hotel.	地元の芸術作品がホテルの至る所に展示されている。
as	She works as an editor for an international magazine.	彼女は国際的な雑誌の編集者として働いている。
aside	He put the report aside and answered the phone.	彼は報告書を脇に置いて電話に出た。
asleep	The baby was already asleep when we arrived home.	帰宅した時、赤ちゃんはすでに眠っていた。
assessment	A full assessment of the damage will take several days.	被害の全面的な評価には数日かかるだろう。
asset	Her ability to speak three languages is a valuable asset.	3言語を話せる能力は彼女の貴重な強みだ。
assign	The teacher will assign each group a different topic.	先生は各グループに別々の話題を割り当てる。
assistance	Please ask a member of staff if you need assistance.	手助けが必要なら職員に声をかけてください。
assistant	The research assistant organized the survey results.	研究助手は調査結果を整理した。
associated	Regular exercise is associated with better mental health.	定期的な運動はより良い心の健康と関連している。
assumption	The plan was based on the assumption that prices would remain stable.	その計画は価格が安定したままだという想定に基づいていた。
astonishing	The team made astonishing progress in just three months.	そのチームはわずか3か月で驚くべき進歩を遂げた。
athlete	The young athlete trains before school every morning.	その若い選手は毎朝、登校前に練習する。
attachment	I have included the schedule as an email attachment.	日程表をメールの添付ファイルとして入れました。
attack	The website went offline after a cyber attack.	そのウェブサイトはサイバー攻撃の後、停止した。
attention	Please pay close attention to the safety instructions.	安全上の指示に十分注意してください。
attraction	The historic castle is the town's main tourist attraction.	その歴史的な城は町の主要な観光名所だ。
auction	The painting was sold at auction for a record price.	その絵は競売で記録的な価格で売られた。
audio	The course includes audio material for listening practice.	その講座にはリスニング練習用の音声教材が含まれている。
